Algoritmo,Cenario,TempoExecucao
Bubble Sort,Cenário 1 - Vetor ordenado crescente,441242
Merge Sort,Cenário 1 - Vetor ordenado crescente,5232
Quick Sort,Cenário 1 - Vetor ordenado crescente,2950
Shell Sort,Cenário 1 - Vetor ordenado crescente,5146
Bubble Sort,Cenário 1 - Vetor ordenado crescente,411921
Merge Sort,Cenário 1 - Vetor ordenado crescente,1832
Quick Sort,Cenário 1 - Vetor ordenado crescente,1589
Shell Sort,Cenário 1 - Vetor ordenado crescente,2864
Bubble Sort,Cenário 1 - Vetor ordenado crescente,382377
Merge Sort,Cenário 1 - Vetor ordenado crescente,1618
Quick Sort,Cenário 1 - Vetor ordenado crescente,1518
Shell Sort,Cenário 1 - Vetor ordenado crescente,3313
Bubble Sort,Cenário 1 - Vetor ordenado crescente,417287
Merge Sort,Cenário 1 - Vetor ordenado crescente,1465
Quick Sort,Cenário 1 - Vetor ordenado crescente,1555
Shell Sort,Cenário 1 - Vetor ordenado crescente,2563
Bubble Sort,Cenário 1 - Vetor ordenado crescente,429135
Merge Sort,Cenário 1 - Vetor ordenado crescente,1769
Quick Sort,Cenário 1 - Vetor ordenado crescente,2062
Shell Sort,Cenário 1 - Vetor ordenado crescente,2509
Bubble Sort,Cenário 1 - Vetor ordenado crescente,419804
Merge Sort,Cenário 1 - Vetor ordenado crescente,1485
Quick Sort,Cenário 1 - Vetor ordenado crescente,1518
Shell Sort,Cenário 1 - Vetor ordenado crescente,2266
Bubble Sort,Cenário 1 - Vetor ordenado crescente,409809
Merge Sort,Cenário 1 - Vetor ordenado crescente,1472
Quick Sort,Cenário 1 - Vetor ordenado crescente,1494
Shell Sort,Cenário 1 - Vetor ordenado crescente,2322
Bubble Sort,Cenário 1 - Vetor ordenado crescente,421759
Merge Sort,Cenário 1 - Vetor ordenado crescente,1512
Quick Sort,Cenário 1 - Vetor ordenado crescente,1733
Shell Sort,Cenário 1 - Vetor ordenado crescente,2230
Bubble Sort,Cenário 1 - Vetor ordenado crescente,434189
Merge Sort,Cenário 1 - Vetor ordenado crescente,1516
Quick Sort,Cenário 1 - Vetor ordenado crescente,1579
Shell Sort,Cenário 1 - Vetor ordenado crescente,2237
Bubble Sort,Cenário 1 - Vetor ordenado crescente,382852
Merge Sort,Cenário 1 - Vetor ordenado crescente,1417
Quick Sort,Cenário 1 - Vetor ordenado crescente,1617
Shell Sort,Cenário 1 - Vetor ordenado crescente,2319
Bubble Sort,Cenário 1 - Vetor ordenado crescente,380864
Merge Sort,Cenário 1 - Vetor ordenado crescente,1598
Quick Sort,Cenário 1 - Vetor ordenado crescente,1356
Shell Sort,Cenário 1 - Vetor ordenado crescente,2354
Bubble Sort,Cenário 1 - Vetor ordenado crescente,389142
Merge Sort,Cenário 1 - Vetor ordenado crescente,1784
Quick Sort,Cenário 1 - Vetor ordenado crescente,1495
Shell Sort,Cenário 1 - Vetor ordenado crescente,2274
Bubble Sort,Cenário 1 - Vetor ordenado crescente,382112
Merge Sort,Cenário 1 - Vetor ordenado crescente,1599
Quick Sort,Cenário 1 - Vetor ordenado crescente,1518
Shell Sort,Cenário 1 - Vetor ordenado crescente,2196
Bubble Sort,Cenário 1 - Vetor ordenado crescente,383879
Merge Sort,Cenário 1 - Vetor ordenado crescente,1540
Quick Sort,Cenário 1 - Vetor ordenado crescente,1349
Shell Sort,Cenário 1 - Vetor ordenado crescente,2279
Bubble Sort,Cenário 1 - Vetor ordenado crescente,380085
Merge Sort,Cenário 1 - Vetor ordenado crescente,1574
Quick Sort,Cenário 1 - Vetor ordenado crescente,1363
Shell Sort,Cenário 1 - Vetor ordenado crescente,2402
Bubble Sort,Cenário 1 - Vetor ordenado crescente,385254
Merge Sort,Cenário 1 - Vetor ordenado crescente,1516
Quick Sort,Cenário 1 - Vetor ordenado crescente,1339
Shell Sort,Cenário 1 - Vetor ordenado crescente,2310
Bubble Sort,Cenário 1 - Vetor ordenado crescente,385919
Merge Sort,Cenário 1 - Vetor ordenado crescente,1673
Quick Sort,Cenário 1 - Vetor ordenado crescente,1413
Shell Sort,Cenário 1 - Vetor ordenado crescente,2092
Bubble Sort,Cenário 1 - Vetor ordenado crescente,386235
Merge Sort,Cenário 1 - Vetor ordenado crescente,1626
Quick Sort,Cenário 1 - Vetor ordenado crescente,1371
Shell Sort,Cenário 1 - Vetor ordenado crescente,2588
Bubble Sort,Cenário 1 - Vetor ordenado crescente,384511
Merge Sort,Cenário 1 - Vetor ordenado crescente,1526
Quick Sort,Cenário 1 - Vetor ordenado crescente,1435
Shell Sort,Cenário 1 - Vetor ordenado crescente,2471
Bubble Sort,Cenário 1 - Vetor ordenado crescente,382427
Merge Sort,Cenário 1 - Vetor ordenado crescente,1584
Quick Sort,Cenário 1 - Vetor ordenado crescente,1219
Shell Sort,Cenário 1 - Vetor ordenado crescente,2178
Bubble Sort,Cenário 1 - Vetor ordenado crescente,394740
Merge Sort,Cenário 1 - Vetor ordenado crescente,1609
Quick Sort,Cenário 1 - Vetor ordenado crescente,1506
Shell Sort,Cenário 1 - Vetor ordenado crescente,2255
Bubble Sort,Cenário 1 - Vetor ordenado crescente,403196
Merge Sort,Cenário 1 - Vetor ordenado crescente,1434
Quick Sort,Cenário 1 - Vetor ordenado crescente,1194
Shell Sort,Cenário 1 - Vetor ordenado crescente,2291
Bubble Sort,Cenário 1 - Vetor ordenado crescente,382158
Merge Sort,Cenário 1 - Vetor ordenado crescente,1724
Quick Sort,Cenário 1 - Vetor ordenado crescente,1485
Shell Sort,Cenário 1 - Vetor ordenado crescente,2574
Bubble Sort,Cenário 1 - Vetor ordenado crescente,379903
Merge Sort,Cenário 1 - Vetor ordenado crescente,1538
Quick Sort,Cenário 1 - Vetor ordenado crescente,1216
Shell Sort,Cenário 1 - Vetor ordenado crescente,2122
Bubble Sort,Cenário 1 - Vetor ordenado crescente,380503
Merge Sort,Cenário 1 - Vetor ordenado crescente,1579
Quick Sort,Cenário 1 - Vetor ordenado crescente,1287
Shell Sort,Cenário 1 - Vetor ordenado crescente,2287
Bubble Sort,Cenário 1 - Vetor ordenado crescente,388522
Merge Sort,Cenário 1 - Vetor ordenado crescente,1708
Quick Sort,Cenário 1 - Vetor ordenado crescente,1399
Shell Sort,Cenário 1 - Vetor ordenado crescente,2237
Bubble Sort,Cenário 1 - Vetor ordenado crescente,382970
Merge Sort,Cenário 1 - Vetor ordenado crescente,1543
Quick Sort,Cenário 1 - Vetor ordenado crescente,1285
Shell Sort,Cenário 1 - Vetor ordenado crescente,2259
Bubble Sort,Cenário 1 - Vetor ordenado crescente,376448
Merge Sort,Cenário 1 - Vetor ordenado crescente,1529
Quick Sort,Cenário 1 - Vetor ordenado crescente,1178
Shell Sort,Cenário 1 - Vetor ordenado crescente,2458
Bubble Sort,Cenário 1 - Vetor ordenado crescente,379347
Merge Sort,Cenário 1 - Vetor ordenado crescente,1506
Quick Sort,Cenário 1 - Vetor ordenado crescente,1203
Shell Sort,Cenário 1 - Vetor ordenado crescente,2411
Bubble Sort,Cenário 1 - Vetor ordenado crescente,380192
Merge Sort,Cenário 1 - Vetor ordenado crescente,1529
Quick Sort,Cenário 1 - Vetor ordenado crescente,1711
Shell Sort,Cenário 1 - Vetor ordenado crescente,2242
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,375608
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1500
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1369
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2304
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,384468
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1530
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1284
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2187
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,385341
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1560
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1567
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2294
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,397896
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1566
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1312
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2318
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,388292
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1475
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1208
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2534
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,379808
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1500
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1384
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2467
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,381981
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1547
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1805
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2157
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,384303
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1561
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1455
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2338
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,381903
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2040
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1319
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2353
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,380832
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1591
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1203
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2166
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,385055
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1446
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1225
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2322
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,380208
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1494
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1273
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2575
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,384310
Merge Sort,Cenário 2 - Vetor ordenado decrescente,1563
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1263
Shell Sort,Cenário 2 - Vetor ordenado decrescente,2301
